agent_id,origin_node_id,destination_node_id,customized_cost_link_type,customized_cost_link_value,agent_type,set_of_allowed_link_types
1,1001,4002,1,92,1,1;2;3
2,1001,4003,1,69,1,1;2;3
3,1001,4004,1,62,1,1;2;3
4,1001,4005,1,32,1,1;2;3
5,1001,4006,1,97,1,1;2;3
6,1001,4007,1,5,1,1;2;3
7,1001,4008,1,39,1,1;2;3
8,1001,4009,1,50,1,1;2;3
9,1001,4010,1,82,1,1;2;3
10,1001,4011,1,93,1,1;2;3
11,1001,4012,1,71,1,1;2;3
12,1001,4013,1,35,1,1;2;3
13,1001,4014,1,14,1,1;2;3
14,1001,4015,1,20,1,1;2;3
15,1001,4016,1,74,1,1;2;3
16,1001,4017,1,49,1,1;2;3
17,1001,4018,1,50,1,1;2;3
18,1001,4019,1,37,1,1;2;3
19,1001,4020,1,79,1,1;2;3
20,1001,4021,1,19,1,1;2;3
21,1001,4022,1,51,1,1;2;3
22,1001,4023,1,70,1,1;2;3
23,1001,4024,1,42,1,1;2;3
24,1001,4025,1,26,1,1;2;3
25,1002,4001,1,92,1,1;2;3
26,1002,4003,1,79,1,1;2;3
27,1002,4004,1,98,1,1;2;3
28,1002,4005,1,60,1,1;2;3
29,1002,4006,1,35,1,1;2;3
30,1002,4007,1,9,1,1;2;3
31,1002,4008,1,96,1,1;2;3
32,1002,4009,1,70,1,1;2;3
33,1002,4010,1,21,1,1;2;3
34,1002,4011,1,37,1,1;2;3
35,1002,4012,1,37,1,1;2;3
36,1002,4013,1,67,1,1;2;3
37,1002,4014,1,93,1,1;2;3
38,1002,4015,1,93,1,1;2;3
39,1002,4016,1,39,1,1;2;3
40,1002,4017,1,2,1,1;2;3
41,1002,4018,1,52,1,1;2;3
42,1002,4019,1,26,1,1;2;3
43,1002,4020,1,90,1,1;2;3
44,1002,4021,1,26,1,1;2;3
45,1002,4022,1,1,1,1;2;3
46,1002,4023,1,68,1,1;2;3
47,1002,4024,1,93,1,1;2;3
48,1002,4025,1,7,1,1;2;3
49,1003,4001,1,69,1,1;2;3
50,1003,4002,1,79,1,1;2;3
51,1003,4004,1,94,1,1;2;3
52,1003,4005,1,19,1,1;2;3
53,1003,4006,1,54,1,1;2;3
54,1003,4007,1,37,1,1;2;3
55,1003,4008,1,0,1,1;2;3
56,1003,4009,1,20,1,1;2;3
57,1003,4010,1,12,1,1;2;3
58,1003,4011,1,11,1,1;2;3
59,1003,4012,1,66,1,1;2;3
60,1003,4013,1,84,1,1;2;3
61,1003,4014,1,80,1,1;2;3
62,1003,4015,1,1,1,1;2;3
63,1003,4016,1,55,1,1;2;3
64,1003,4017,1,9,1,1;2;3
65,1003,4018,1,21,1,1;2;3
66,1003,4019,1,12,1,1;2;3
67,1003,4020,1,65,1,1;2;3
68,1003,4021,1,7,1,1;2;3
69,1003,4022,1,17,1,1;2;3
70,1003,4023,1,51,1,1;2;3
71,1003,4024,1,84,1,1;2;3
72,1003,4025,1,87,1,1;2;3
73,1004,4001,1,62,1,1;2;3
74,1004,4002,1,98,1,1;2;3
75,1004,4003,1,94,1,1;2;3
76,1004,4005,1,2,1,1;2;3
77,1004,4006,1,27,1,1;2;3
78,1004,4007,1,82,1,1;2;3
79,1004,4008,1,71,1,1;2;3
80,1004,4009,1,71,1,1;2;3
81,1004,4010,1,40,1,1;2;3
82,1004,4011,1,93,1,1;2;3
83,1004,4012,1,27,1,1;2;3
84,1004,4013,1,93,1,1;2;3
85,1004,4014,1,92,1,1;2;3
86,1004,4015,1,34,1,1;2;3
87,1004,4016,1,39,1,1;2;3
88,1004,4017,1,31,1,1;2;3
89,1004,4018,1,26,1,1;2;3
90,1004,4019,1,1,1,1;2;3
91,1004,4020,1,87,1,1;2;3
92,1004,4021,1,72,1,1;2;3
93,1004,4022,1,59,1,1;2;3
94,1004,4023,1,97,1,1;2;3
95,1004,4024,1,46,1,1;2;3
96,1004,4025,1,62,1,1;2;3
97,1005,4001,1,32,1,1;2;3
98,1005,4002,1,60,1,1;2;3
99,1005,4003,1,19,1,1;2;3
100,1005,4004,1,2,1,1;2;3
101,1005,4006,1,12,1,1;2;3
102,1005,4007,1,91,1,1;2;3
103,1005,4008,1,63,1,1;2;3
104,1005,4009,1,70,1,1;2;3
105,1005,4010,1,1,1,1;2;3
106,1005,4011,1,22,1,1;2;3
107,1005,4012,1,49,1,1;2;3
108,1005,4013,1,24,1,1;2;3
109,1005,4014,1,58,1,1;2;3
110,1005,4015,1,62,1,1;2;3
111,1005,4016,1,49,1,1;2;3
112,1005,4017,1,94,1,1;2;3
113,1005,4018,1,92,1,1;2;3
114,1005,4019,1,63,1,1;2;3
115,1005,4020,1,13,1,1;2;3
116,1005,4021,1,45,1,1;2;3
117,1005,4022,1,22,1,1;2;3
118,1005,4023,1,69,1,1;2;3
119,1005,4024,1,70,1,1;2;3
120,1005,4025,1,18,1,1;2;3
121,1006,4001,1,97,1,1;2;3
122,1006,4002,1,35,1,1;2;3
123,1006,4003,1,54,1,1;2;3
124,1006,4004,1,27,1,1;2;3
125,1006,4005,1,12,1,1;2;3
126,1006,4007,1,1,1,1;2;3
127,1006,4008,1,44,1,1;2;3
128,1006,4009,1,32,1,1;2;3
129,1006,4010,1,3,1,1;2;3
