link_id,from_node_id,to_node_id,fixed_cost,link_type,acting_link_id
1,1001,2001,0,2,1
2,1001,2002,0,2,2
3,1001,2003,0,2,3
4,1001,2004,0,2,4
5,1001,2005,0,2,5
6,1001,2006,0,2,6
7,1001,2007,0,2,7
8,1001,2008,0,2,8
9,1001,2009,0,2,9
10,1001,2010,0,2,10
11,1001,2011,0,2,11
12,1001,2012,0,2,12
13,1001,2013,0,2,13
14,1001,2014,0,2,14
15,1001,2015,0,2,15
16,1001,2016,0,2,16
17,1001,2017,0,2,17
18,1001,2018,0,2,18
19,1001,2019,0,2,19
20,1001,2020,0,2,20
21,1001,2021,0,2,21
22,1001,2022,0,2,22
23,1001,2023,0,2,23
24,1001,2024,0,2,24
25,1001,2025,0,2,25
26,1002,2001,0,2,26
27,1002,2002,0,2,27
28,1002,2003,0,2,28
29,1002,2004,0,2,29
30,1002,2005,0,2,30
31,1002,2006,0,2,31
32,1002,2007,0,2,32
33,1002,2008,0,2,33
34,1002,2009,0,2,34
35,1002,2010,0,2,35
36,1002,2011,0,2,36
37,1002,2012,0,2,37
38,1002,2013,0,2,38
39,1002,2014,0,2,39
40,1002,2015,0,2,40
41,1002,2016,0,2,41
42,1002,2017,0,2,42
43,1002,2018,0,2,43
44,1002,2019,0,2,44
45,1002,2020,0,2,45
46,1002,2021,0,2,46
47,1002,2022,0,2,47
48,1002,2023,0,2,48
49,1002,2024,0,2,49
50,1002,2025,0,2,50
51,1003,2001,0,2,51
52,1003,2002,0,2,52
53,1003,2003,0,2,53
54,1003,2004,0,2,54
55,1003,2005,0,2,55
56,1003,2006,0,2,56
57,1003,2007,0,2,57
58,1003,2008,0,2,58
59,1003,2009,0,2,59
60,1003,2010,0,2,60
61,1003,2011,0,2,61
62,1003,2012,0,2,62
63,1003,2013,0,2,63
64,1003,2014,0,2,64
65,1003,2015,0,2,65
66,1003,2016,0,2,66
67,1003,2017,0,2,67
68,1003,2018,0,2,68
69,1003,2019,0,2,69
70,1003,2020,0,2,70
71,1003,2021,0,2,71
