agent_id,origin_node_id,destination_node_id,cost,path_node_sequence,path_link_sequence
1,1001,4002,129.880020,1001;2003;3004;4002;,3;41;30;,
2,1001,4003,-19.639980,1001;2003;3001;4003;,3;39;19;,
3,1001,4004,83.195084,1001;2003;3002;4004;,3;40;24;,
4,1002,4001,129.320023,1002;2004;3003;4001;,8;44;25;,
5,1002,4003,-30.199978,1002;2004;3001;4003;,8;42;19;,
6,1002,4004,33.400017,1002;2004;3002;4004;,8;43;24;,
7,1003,4001,-11.999987,1003;2001;3003;4001;,9;34;25;,
8,1003,4002,-35.279976,1003;2001;3004;4002;,9;35;30;,
9,1003,4004,148.922226,1003;2001;3002;4004;,9;33;24;,
10,1004,4001,89.464966,1004;2002;3003;4001;,14;37;25;,
11,1004,4002,32.640015,1004;2002;3004;4002;,14;38;30;,
12,1004,4003,148.117859,1004;2002;3001;4003;,14;36;19;,
13,1001,4001,-78.879944,1001;2003;3003;4001;,3;47;25;,
14,1002,4002,-86.719940,1002;2004;3004;4002;,8;48;30;,
15,1003,4003,-83.479935,1003;2001;3001;4003;,9;45;19;,
16,1004,4004,-82.159943,1004;2002;3002;4004;,14;46;24;,
