agent_id,origin_node_id,destination_node_id,customized_cost_link_type,customized_cost_link_value,agent_type,set_of_allowed_link_types
1,1001,4002,1,85,1,1;2;3
2,1001,4003,1,72,1,1;2;3
3,1001,4004,1,7,1,1;2;3
4,1001,4005,1,49,1,1;2;3
5,1001,4006,1,46,1,1;2;3
6,1001,4007,1,87,1,1;2;3
7,1001,4008,1,58,1,1;2;3
8,1001,4009,1,17,1,1;2;3
9,1001,4010,1,68,1,1;2;3
10,1001,4011,1,27,1,1;2;3
11,1001,4012,1,21,1,1;2;3
12,1001,4013,1,6,1,1;2;3
13,1001,4014,1,67,1,1;2;3
14,1001,4015,1,26,1,1;2;3
15,1001,4016,1,82,1,1;2;3
16,1001,4017,1,44,1,1;2;3
17,1001,4018,1,35,1,1;2;3
18,1001,4019,1,3,1,1;2;3
19,1001,4020,1,62,1,1;2;3
20,1002,4001,1,85,1,1;2;3
21,1002,4003,1,8,1,1;2;3
22,1002,4004,1,51,1,1;2;3
23,1002,4005,1,1,1,1;2;3
24,1002,4006,1,91,1,1;2;3
25,1002,4007,1,39,1,1;2;3
26,1002,4008,1,87,1,1;2;3
27,1002,4009,1,72,1,1;2;3
28,1002,4010,1,45,1,1;2;3
29,1002,4011,1,96,1,1;2;3
30,1002,4012,1,7,1,1;2;3
31,1002,4013,1,87,1,1;2;3
32,1002,4014,1,68,1,1;2;3
33,1002,4015,1,33,1,1;2;3
34,1002,4016,1,3,1,1;2;3
35,1002,4017,1,21,1,1;2;3
36,1002,4018,1,90,1,1;2;3
37,1002,4019,1,45,1,1;2;3
38,1002,4020,1,47,1,1;2;3
39,1003,4001,1,72,1,1;2;3
40,1003,4002,1,8,1,1;2;3
41,1003,4004,1,25,1,1;2;3
42,1003,4005,1,30,1,1;2;3
43,1003,4006,1,43,1,1;2;3
44,1003,4007,1,97,1,1;2;3
45,1003,4008,1,33,1,1;2;3
46,1003,4009,1,35,1,1;2;3
47,1003,4010,1,61,1,1;2;3
48,1003,4011,1,42,1,1;2;3
49,1003,4012,1,36,1,1;2;3
50,1003,4013,1,43,1,1;2;3
51,1003,4014,1,7,1,1;2;3
52,1003,4015,1,84,1,1;2;3
53,1003,4016,1,6,1,1;2;3
54,1003,4017,1,0,1,1;2;3
55,1003,4018,1,0,1,1;2;3
56,1003,4019,1,48,1,1;2;3
57,1003,4020,1,62,1,1;2;3
58,1004,4001,1,7,1,1;2;3
59,1004,4002,1,51,1,1;2;3
60,1004,4003,1,25,1,1;2;3
61,1004,4005,1,59,1,1;2;3
62,1004,4006,1,29,1,1;2;3
63,1004,4007,1,94,1,1;2;3
64,1004,4008,1,82,1,1;2;3
65,1004,4009,1,29,1,1;2;3
66,1004,4010,1,3,1,1;2;3
67,1004,4011,1,3,1,1;2;3
68,1004,4012,1,51,1,1;2;3
69,1004,4013,1,67,1,1;2;3
70,1004,4014,1,39,1,1;2;3
71,1004,4015,1,15,1,1;2;3
72,1004,4016,1,66,1,1;2;3
73,1004,4017,1,42,1,1;2;3
74,1004,4018,1,23,1,1;2;3
75,1004,4019,1,62,1,1;2;3
76,1004,4020,1,62,1,1;2;3
77,1005,4001,1,49,1,1;2;3
78,1005,4002,1,1,1,1;2;3
79,1005,4003,1,30,1,1;2;3
80,1005,4004,1,59,1,1;2;3
81,1005,4006,1,28,1,1;2;3
82,1005,4007,1,76,1,1;2;3
83,1005,4008,1,66,1,1;2;3
84,1005,4009,1,82,1,1;2;3
85,1005,4010,1,98,1,1;2;3
86,1005,4011,1,35,1,1;2;3
87,1005,4012,1,15,1,1;2;3
88,1005,4013,1,17,1,1;2;3
89,1005,4014,1,77,1,1;2;3
90,1005,4015,1,44,1,1;2;3
91,1005,4016,1,26,1,1;2;3
92,1005,4017,1,76,1,1;2;3
93,1005,4018,1,86,1,1;2;3
94,1005,4019,1,60,1,1;2;3
95,1005,4020,1,62,1,1;2;3
96,1006,4001,1,46,1,1;2;3
97,1006,4002,1,91,1,1;2;3
98,1006,4003,1,43,1,1;2;3
99,1006,4004,1,29,1,1;2;3
100,1006,4005,1,28,1,1;2;3
101,1006,4007,1,62,1,1;2;3
102,1006,4008,1,83,1,1;2;3
103,1006,4009,1,91,1,1;2;3
104,1006,4010,1,57,1,1;2;3
105,1006,4011,1,62,1,1;2;3
106,1006,4012,1,36,1,1;2;3
107,1006,4013,1,2,1,1;2;3
108,1006,4014,1,2,1,1;2;3
109,1006,4015,1,43,1,1;2;3
110,1006,4016,1,65,1,1;2;3
111,1006,4017,1,37,1,1;2;3
112,1006,4018,1,49,1,1;2;3
113,1006,4019,1,61,1,1;2;3
114,1006,4020,1,5,1,1;2;3
115,1007,4001,1,87,1,1;2;3
116,1007,4002,1,39,1,1;2;3
117,1007,4003,1,97,1,1;2;3
118,1007,4004,1,94,1,1;2;3
119,1007,4005,1,76,1,1;2;3
120,1007,4006,1,62,1,1;2;3
121,1007,4008,1,34,1,1;2;3
122,1007,4009,1,53,1,1;2;3
123,1007,4010,1,96,1,1;2;3
124,1007,4011,1,82,1,1;2;3
125,1007,4012,1,48,1,1;2;3
126,1007,4013,1,28,1,1;2;3
127,1007,4014,1,31,1,1;2;3
128,1007,4015,1,75,1,1;2;3
129,1007,4016,1,1,1,1;2;3
130,1007,4017,1,95,1,1;2;3
131,1007,4018,1,7,1,1;2;3
132,1007,4019,1,92,1,1;2;3
133,1007,4020,1,69,1,1;2;3
134,1008,4001,1,58,1,1;2;3
135,1008,4002,1,87,1,1;2;3
136,1008,4003,1,33,1,1;2;3
137,1008,4004,1,82,1,1;2;3
138,1008,4005,1,66,1,1;2;3
139,1008,4006,1,83,1,1;2;3
140,1008,4007,1,34,1,1;2;3
141,1008,4009,1,62,1,1;2;3
142,1008,4010,1,32,1,1;2;3
143,1008,4011,1,97,1,1;2;3
144,1008,4012,1,5,1,1;2;3
145,1008,4013,1,39,1,1;2;3
146,1008,4014,1,50,1,1;2;3
147,1008,4015,1,82,1,1;2;3
148,1008,4016,1,93,1,1;2;3
149,1008,4017,1,71,1,1;2;3
150,1008,4018,1,35,1,1;2;3
151,1008,4019,1,14,1,1;2;3
152,1008,4020,1,20,1,1;2;3
153,1009,4001,1,17,1,1;2;3
154,1009,4002,1,72,1,1;2;3
155,1009,4003,1,35,1,1;2;3
156,1009,4004,1,29,1,1;2;3
157,1009,4005,1,82,1,1;2;3
158,1009,4006,1,91,1,1;2;3
159,1009,4007,1,53,1,1;2;3
160,1009,4008,1,62,1,1;2;3
161,1009,4010,1,74,1,1;2;3
162,1009,4011,1,49,1,1;2;3
163,1009,4012,1,50,1,1;2;3
164,1009,4013,1,37,1,1;2;3
165,1009,4014,1,79,1,1;2;3
166,1009,4015,1,19,1,1;2;3
167,1009,4016,1,51,1,1;2;3
168,1009,4017,1,70,1,1;2;3
169,1009,4018,1,42,1,1;2;3
170,1009,4019,1,26,1,1;2;3
171,1009,4020,1,79,1,1;2;3
172,1010,4001,1,68,1,1;2;3
173,1010,4002,1,45,1,1;2;3
174,1010,4003,1,61,1,1;2;3
175,1010,4004,1,3,1,1;2;3
176,1010,4005,1,98,1,1;2;3
177,1010,4006,1,57,1,1;2;3
178,1010,4007,1,96,1,1;2;3
179,1010,4008,1,32,1,1;2;3
180,1010,4009,1,74,1,1;2;3
181,1010,4011,1,98,1,1;2;3
182,1010,4012,1,60,1,1;2;3
183,1010,4013,1,35,1,1;2;3
184,1010,4014,1,9,1,1;2;3
185,1010,4015,1,96,1,1;2;3
186,1010,4016,1,70,1,1;2;3
187,1010,4017,1,21,1,1;2;3
188,1010,4018,1,37,1,1;2;3
189,1010,4019,1,37,1,1;2;3
190,1010,4020,1,67,1,1;2;3
191,1011,4001,1,27,1,1;2;3
192,1011,4002,1,96,1,1;2;3
193,1011,4003,1,42,1,1;2;3
194,1011,4004,1,3,1,1;2;3
195,1011,4005,1,35,1,1;2;3
196,1011,4006,1,62,1,1;2;3
197,1011,4007,1,82,1,1;2;3
198,1011,4008,1,97,1,1;2;3
199,1011,4009,1,49,1,1;2;3
200,1011,4010,1,98,1,1;2;3
201,1011,4012,1,93,1,1;2;3
202,1011,4013,1,93,1,1;2;3
203,1011,4014,1,39,1,1;2;3
204,1011,4015,1,2,1,1;2;3
205,1011,4016,1,52,1,1;2;3
206,1011,4017,1,26,1,1;2;3
207,1011,4018,1,90,1,1;2;3
208,1011,4019,1,26,1,1;2;3
209,1011,4020,1,1,1,1;2;3
210,1012,4001,1,21,1,1;2;3
211,1012,4002,1,7,1,1;2;3
212,1012,4003,1,36,1,1;2;3
213,1012,4004,1,51,1,1;2;3
214,1012,4005,1,15,1,1;2;3
215,1012,4006,1,36,1,1;2;3
216,1012,4007,1,48,1,1;2;3
217,1012,4008,1,5,1,1;2;3
218,1012,4009,1,50,1,1;2;3
219,1012,4010,1,60,1,1;2;3
220,1012,4011,1,93,1,1;2;3
221,1012,4013,1,68,1,1;2;3
222,1012,4014,1,93,1,1;2;3
223,1012,4015,1,7,1,1;2;3
224,1012,4016,1,94,1,1;2;3
225,1012,4017,1,19,1,1;2;3
226,1012,4018,1,54,1,1;2;3
227,1012,4019,1,37,1,1;2;3
228,1012,4020,1,0,1,1;2;3
229,1013,4001,1,6,1,1;2;3
230,1013,4002,1,87,1,1;2;3
231,1013,4003,1,43,1,1;2;3
232,1013,4004,1,67,1,1;2;3
233,1013,4005,1,17,1,1;2;3
234,1013,4006,1,2,1,1;2;3
235,1013,4007,1,28,1,1;2;3
236,1013,4008,1,39,1,1;2;3
237,1013,4009,1,37,1,1;2;3
238,1013,4010,1,35,1,1;2;3
239,1013,4011,1,93,1,1;2;3
240,1013,4012,1,68,1,1;2;3
241,1013,4014,1,20,1,1;2;3
242,1013,4015,1,12,1,1;2;3
243,1013,4016,1,11,1,1;2;3
244,1013,4017,1,66,1,1;2;3
